candidate,classification,track_pathway,model_signature,listing_signature,observed_price_aud,observed_url,conversation_id,conversation_title,recommended_action
|,Missing,1/1A,rtx 4090 16 laptop,rtx 4090 16 laptop open box 3599,3599,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
|,Missing,1/1A,rtx 5070 32 laptop,rtx 5070 32 laptop a higher price than the legion new 3775,3775,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
|,Missing,1/1A,rtx 5000 64 laptop,rtx 5000 64 laptop refurbished 789,789,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
"A$3,599",Missing,1/1A,a 3 599 rtx 4090 laptop,a 3 599 rtx 4090 laptop 3599,3599,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
"A$3,939 incl. GST",Missing,1/1A,a 3 939 incl gst rtx 5070 8 laptop,a 3 939 incl gst rtx 5070 8 laptop pb tech new 3939,3939,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
budget pivot,Missing,UNKNOWN/UNKNOWN,budget pivot rtx 3000,budget pivot rtx 3000 814,814,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
"US$3,199.99",Missing,UNKNOWN/UNKNOWN,us 3 199 99 rtx 4090,us 3 199 99 rtx 4090 new,UNKNOWN,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
LG Gram 17 (2023),Missing,UNKNOWN/UNKNOWN,lg gram 17 rtx 3050,lg gram 17 rtx 3050 2990,2990,UNKNOWN,69e92985-6e6c-839e-87db-030b32b07464,eBay LG Gram 17 Review,Review against existing cards and verify live facts before intake.
Used/refurbished,Missing,1/1A,used refurbished rtx 3090 laptop,used refurbished rtx 3090 laptop refurbished,UNKNOWN,UNKNOWN,69ead86b-1424-839b-bb97-fc5c299cf8ee,Optimising Hardware Research Prompt,Review against existing cards and verify live facts before intake.
Summarise the practical differences between,Missing,1/1A,summarise the practical differences between rtx 4060 laptop,summarise the practical differences between rtx 4060 laptop new,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Outline realistic options for new and refurbished GPUs (e.g.,Missing,UNKNOWN/UNKNOWN,outline realistic options for new and refurbished gpus e g rtx 3080,outline realistic options for new and refurbished gpus e g rtx 3080 refurbished,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
A newer 8GB,Missing,1/1A,a newer 8gb rtx 5070 8 laptop,a newer 8gb rtx 5070 8 laptop new,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
If Path 3 (Refurbished/Ex-Demo Windows Tower) is shortlisted:,Missing,1/1A,if path 3 is shortlisted rtx 3090 laptop,if path 3 is shortlisted rtx 3090 laptop au marketplaces open box,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
If Path 1 (High-Spec Windows Laptop) is shortlisted:,Missing,1/1A,if path 1 is shortlisted rtx 4080 laptop,if path 1 is shortlisted rtx 4080 laptop lenovo,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
|,Missing,1.5/UNKNOWN,rtx 3090 desktop,rtx 3090 desktop refurbished,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
|,Missing,1.5/UNKNOWN,rtx 4080 super 16 desktop,rtx 4080 super 16 desktop used,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Definitive recommendation:,Missing,1/1A,definitive recommendation rtx 3090 laptop,definitive recommendation rtx 3090 laptop refurbished,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Do not buy a high-end laptop just because it feels like the “one magical machine.”,Missing,1/1A,do not buy a high end laptop just because it feels like the one magical machine rtx 4090 laptop,do not buy a high end laptop just because it feels like the one magical machine rtx 4090 laptop used,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Option 3A — Custom RTX 3090 24GB AI desktop + refurbished ThinkPad,Missing,1.5/UNKNOWN,option 3a custom rtx 3090 24gb ai desktop refurbished thinkpad rtx 3090 desktop,option 3a custom rtx 3090 24gb ai desktop refurbished thinkpad rtx 3090 desktop refurbished,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Used/refurb RTX 3090 24GB,Missing,UNKNOWN/UNKNOWN,used refurb rtx 3090 24gb rtx 3090,used refurb rtx 3090 24gb rtx 3090 refurbished,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Option 3B — New/prebuilt 16GB desktop: RTX 5070 Ti / RTX 4080 Super class,Missing,1.5/UNKNOWN,option 3b new prebuilt 16gb desktop rtx 5070 ti rtx 4080 super class rtx 5070 ti desktop,option 3b new prebuilt 16gb desktop rtx 5070 ti rtx 4080 super class rtx 5070 ti desktop new,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Mwave search results show several,Missing,1.5/UNKNOWN,mwave search results show several rtx 4080 super desktop,mwave search results show several rtx 4080 super desktop refurbished,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
GPU,Missing,UNKNOWN/UNKNOWN,gpu rtx 4070 ti,gpu rtx 4070 ti used,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Mwave lists,Missing,UNKNOWN/UNKNOWN,mwave lists rtx 4070 ti 16,mwave lists rtx 4070 ti 16 refurbished,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
RTX 3090 24GB desktop build + refurbished ThinkPad-class laptop.,Missing,1/1A,rtx 3090 24gb desktop build refurbished thinkpad class laptop rtx 3090 laptop,rtx 3090 24gb desktop build refurbished thinkpad class laptop rtx 3090 laptop refurbished,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Path 3 — Best value desktop,Missing,1/1A,path 3 best value desktop rtx 3090 laptop,path 3 best value desktop rtx 3090 laptop refurbished,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Path 3 — Fast 16GB desktop,Missing,1.5/UNKNOWN,path 3 fast 16gb desktop rtx 4080 super 16 desktop,path 3 fast 16gb desktop rtx 4080 super 16 desktop refurbished,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
Path 6 — Compact 24GB,Missing,1.5/UNKNOWN,path 6 compact 24gb rtx 3090 desktop,path 6 compact 24gb rtx 3090 desktop used,UNKNOWN,UNKNOWN,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,Review against existing cards and verify live facts before intake.
RTX 3090 24GB desktop build + refurb ThinkPad,Missing,1.5/UNKNOWN,rtx 3090 24gb desktop build refurb thinkpad rtx 3090 desktop,rtx 3090 24gb desktop build refurb thinkpad rtx 3090 desktop refurbished,UNKNOWN,UNKNOWN,69ece4a2-e3d4-83a0-93dd-ee742c723a32,Product Ledger Setup,Review against existing cards and verify live facts before intake.
RTX 3090 24GB desktop + cheap refurb ThinkPad,Missing,1.5/UNKNOWN,rtx 3090 24gb desktop cheap refurb thinkpad rtx 3090 desktop,rtx 3090 24gb desktop cheap refurb thinkpad rtx 3090 desktop refurbished,UNKNOWN,UNKNOWN,69ece4a2-e3d4-83a0-93dd-ee742c723a32,Product Ledger Setup,Review against existing cards and verify live facts before intake.
used workstation,Missing,1.5/UNKNOWN,used workstation rtx 3090 desktop,used workstation rtx 3090 desktop used,UNKNOWN,UNKNOWN,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,Review against existing cards and verify live facts before intake.
Find 10 new eBay AU listings today for,Missing,1/1A,find 10 new ebay au listings today for rtx 3090 24 laptop,find 10 new ebay au listings today for rtx 3090 24 laptop new,UNKNOWN,UNKNOWN,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,Review against existing cards and verify live facts before intake.
"$3,400–$4,100 total",Missing,1/1A,3 400 4 100 total rtx 3090 laptop,3 400 4 100 total rtx 3090 laptop refurbished,UNKNOWN,UNKNOWN,69edd989-3720-8399-abdd-f6c623f8fa84,Search for desktops,Review against existing cards and verify live facts before intake.
a cleaner,Missing,1.5/UNKNOWN,a cleaner rtx 3090 desktop,a cleaner rtx 3090 desktop refurbished,UNKNOWN,UNKNOWN,69edd989-3720-8399-abdd-f6c623f8fa84,Search for desktops,Review against existing cards and verify live facts before intake.
a new,Missing,1.5/UNKNOWN,a new rtx 4080 super desktop,a new rtx 4080 super desktop new,UNKNOWN,UNKNOWN,69edd989-3720-8399-abdd-f6c623f8fa84,Search for desktops,Review against existing cards and verify live facts before intake.
i9-11900KF,Missing,UNKNOWN/UNKNOWN,i9 11900kf rtx 3090 24,i9 11900kf rtx 3090 24 refurbished,UNKNOWN,UNKNOWN,69edd989-3720-8399-abdd-f6c623f8fa84,Search for desktops,Review against existing cards and verify live facts before intake.
Retailer Scorptec [link] ASUS ROG Strix,Missing,1/1A,retailer scorptec link asus rog strix rtx 5090 laptop,retailer scorptec link asus rog strix rtx 5090 laptop new,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
Marketplace eBay AU [link] Gigabyte Gaming OC,Missing,UNKNOWN/UNKNOWN,marketplace ebay au link gigabyte gaming oc rtx 3090,marketplace ebay au link gigabyte gaming oc rtx 3090 used,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
System Builder Allied Gaming [link] Desktop Tower Allied MOAB-A,Missing,1.5/UNKNOWN,system builder allied gaming link desktop tower allied moab a rtx 5090 desktop,system builder allied gaming link desktop tower allied moab a rtx 5090 desktop new,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
TABLE 4:,Missing,UNKNOWN/UNKNOWN,table 4 rtx 3090,table 4 rtx 3090 refurbished,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
Dedicated section for,Missing,UNKNOWN/UNKNOWN,dedicated section for rtx 3090,dedicated section for rtx 3090 used,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
2. Best Value (Used/Refurb,Missing,UNKNOWN/UNKNOWN,2 best value used refurb rtx 3090,2 best value used refurb rtx 3090 refurbished,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
"Note: """,Missing,UNKNOWN/UNKNOWN,note rtx 3090,note rtx 3090 used,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
Best Value (Used/Refurb RTX 3090),Missing,UNKNOWN/UNKNOWN,best value rtx 3090,best value rtx 3090 refurbished,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
"Here's the completed report with detailed tables of high-VRAM GPUs, desktops, laptops, and used/refurbished",Missing,1/1A,here s the completed report with detailed tables of high vram gpus desktops laptops and used refurbished rtx 3090 laptop,here s the completed report with detailed tables of high vram gpus desktops laptops and used refurbished rtx 3090 laptop refurbished,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
Australian Computer Traders (australiancomputertraders.com.au),Missing,UNKNOWN/UNKNOWN,australian computer traders rtx 3090,australian computer traders rtx 3090 refurbished,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
7. Gigabyte,Missing,UNKNOWN/UNKNOWN,7 gigabyte rtx 4090,7 gigabyte rtx 4090 used,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
"Gumtree: Search VIC/Melbourne specifically for """,Missing,UNKNOWN/UNKNOWN,gumtree search vic melbourne specifically for rtx 3090,gumtree search vic melbourne specifically for rtx 3090 lower prices,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
Tech Junction: Search for,Missing,1/1A,tech junction search for rtx 3090 laptop,tech junction search for rtx 3090 laptop refurbished,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
1. Umart MSI Ventus 3X OC,Missing,UNKNOWN/UNKNOWN,1 umart msi ventus 3x oc rtx 5090,1 umart msi ventus 3x oc rtx 5090 new,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
That is not as cheap as building around a standalone used,Missing,1.5/UNKNOWN,that is not as cheap as building around a standalone used rtx 3090 desktop,that is not as cheap as building around a standalone used rtx 3090 desktop used,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
2. What exact,Missing,UNKNOWN/UNKNOWN,2 what exact rtx 3090,2 what exact rtx 3090 used,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
"new, used, refurbished, or ex-mining",Missing,UNKNOWN/UNKNOWN,new used refurbished or ex mining rtx 3090,new used refurbished or ex mining rtx 3090 refurbished,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
Typical used RTX 3090 custom build path,Missing,1/1A,typical used rtx 3090 custom build path rtx 3090 laptop,typical used rtx 3090 custom build path rtx 3090 laptop used,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
"new, refurbished, used, or ex-mining",Missing,UNKNOWN/UNKNOWN,new refurbished used or ex mining rtx 3090,new refurbished used or ex mining rtx 3090 refurbished,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
"$5,699",Missing,1/1A,5 699 rtx 5090 24 laptop,5 699 rtx 5090 24 laptop retail stores,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
Ryzen 7 7800X3D + RTX 5070 Ti 16GB,Missing,1.5/UNKNOWN,ryzen 7 7800x3d rtx 5070 ti 16gb rtx 5070 ti desktop,ryzen 7 7800x3d rtx 5070 ti 16gb rtx 5070 ti desktop the same seller,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
"OKINOS RTX 3090 24GB at $3,599",Missing,UNKNOWN/UNKNOWN,okinos rtx 3090 24gb at 3 599 rtx 3090 24,okinos rtx 3090 24gb at 3 599 rtx 3090 24 new,UNKNOWN,UNKNOWN,69efa03a-cd58-83a0-b9e1-861507d02eb8,High-VRAM Hardware Procurement,Review against existing cards and verify live facts before intake.
Source a used or refurbished NVIDIA,Missing,UNKNOWN/UNKNOWN,source a used or refurbished nvidia rtx 3090,source a used or refurbished nvidia rtx 3090 refurbished,UNKNOWN,UNKNOWN,69f08cf3-c88c-839e-96e9-ab9d8767ffcf,AI Computer Purchase Plan,Review against existing cards and verify live facts before intake.
"Scorptec, Mwave, and JW Computers",Missing,1/1A,scorptec mwave and jw computers rtx 3080 ti laptop,scorptec mwave and jw computers rtx 3080 ti laptop refurbished,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
eBay Australia:,Missing,1/1A,ebay australia rtx 4090 laptop,ebay australia rtx 4090 laptop refurbished,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1.5/UNKNOWN,64 desktop,64 desktop 5329,5329,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1/1A,rtx 4090 16 laptop,rtx 4090 16 laptop 5099,5099,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1.5/UNKNOWN,rtx 4080 16 desktop,rtx 4080 16 desktop refurbished 1800,1800,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1.5/UNKNOWN,rtx 5070 ti 16 desktop,rtx 5070 ti 16 desktop new 3399,3399,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1.5/UNKNOWN,rtx 5070 ti desktop,rtx 5070 ti desktop new 3799,3799,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1.5/UNKNOWN,rtx 4080 desktop,rtx 4080 desktop refurbished 3699,3699,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1.5/UNKNOWN,rtx 4080 16 desktop,rtx 4080 16 desktop 2948,2948,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1/1A,rtx 4090 laptop,rtx 4090 laptop refurbished 4449,4449,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1/1A,rtx 5080 16 laptop,rtx 5080 16 laptop 4498,4498,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1/1A,rtx 5080 16 laptop,rtx 5080 16 laptop 4899,4899,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1/1A,rtx 5080 16 laptop,rtx 5080 16 laptop 4999,4999,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1.5/UNKNOWN,rtx 5070 ti 16 desktop,rtx 5070 ti 16 desktop 2851 98,2851.98,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
Scorptec Eclipse RTX 5070 Ti 16GB,Missing,1.5/UNKNOWN,scorptec eclipse rtx 5070 ti 16gb rtx 5070 ti desktop,scorptec eclipse rtx 5070 ti 16gb rtx 5070 ti desktop new,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
Acer Predator Orion 7000 RTX 4080 refurbished,Missing,1.5/UNKNOWN,acer predator orion 7000 rtx 4080 refurbished rtx 4080 desktop,acer predator orion 7000 rtx 4080 refurbished rtx 4080 desktop refurbished,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
Acer Predator Helios 18 RTX 4090 refurbished,Missing,1.5/UNKNOWN,acer predator helios 18 rtx 4090 refurbished rtx 4090 desktop,acer predator helios 18 rtx 4090 refurbished rtx 4090 desktop refurbished,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
The evaluated-products ZIP already includes these major anchors:,Missing,1/1A,the evaluated products zip already includes these major anchors rtx 3090 laptop,the evaluated products zip already includes these major anchors rtx 3090 laptop used,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1.5/UNKNOWN,rtx 3090 desktop,rtx 3090 desktop used 2800,2800,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,UNKNOWN/UNKNOWN,rtx 3090,rtx 3090 refurbished,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
Compact Alienware Aurora RTX 3090 / 4090 towers,Missing,1/1A,compact alienware aurora rtx 3090 4090 towers rtx 3090 laptop,compact alienware aurora rtx 3090 4090 towers rtx 3090 laptop 2,2,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
Alienware Aurora RTX 3090 24GB,Missing,1/1A,alienware aurora rtx 3090 24gb rtx 3090 laptop,alienware aurora rtx 3090 24gb rtx 3090 laptop 2800,2800,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
Alienware Aurora RTX 4090 24GB,Missing,1/1A,alienware aurora rtx 4090 24gb rtx 4090 laptop,alienware aurora rtx 4090 24gb rtx 4090 laptop 3800,3800,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
RTX 4090 laptop 16GB,Missing,1/1A,rtx 4090 laptop 16gb rtx 4090 laptop,rtx 4090 laptop 16gb rtx 4090 laptop 4000,4000,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
RTX 5080 laptop 16GB,Missing,1/1A,rtx 5080 laptop 16gb rtx 5080 laptop,rtx 5080 laptop 16gb rtx 5080 laptop 4500,4500,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
Alienware RTX 3090 tower around A$2k,Missing,1/1A,alienware rtx 3090 tower around a 2k rtx 3090 24 laptop,alienware rtx 3090 tower around a 2k rtx 3090 24 laptop 2,2,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
Expansion Verdict,Missing,UNKNOWN/UNKNOWN,expansion verdict rtx 3090,expansion verdict rtx 3090 2000,2000,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1/1A,rtx 3090 24 laptop,rtx 3090 24 laptop 2,2,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1/1A,rtx 4090 laptop,rtx 4090 laptop 3 5,3.5,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,1/1A,rtx 5080 laptop,rtx 5080 laptop 4,4,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
A$2k local Alienware RTX 3090,Missing,1/1A,a 2k local alienware rtx 3090 rtx 3090 laptop,a 2k local alienware rtx 3090 rtx 3090 laptop 2,2,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
MSI Vector 16 HX AI Open Box RTX 5070 Ti 12GB,Missing,UNKNOWN/UNKNOWN,msi vector 16 hx ai open box rtx 5070 ti 12gb rtx 5070 ti 12,msi vector 16 hx ai open box rtx 5070 ti 12gb rtx 5070 ti 12 open box,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
"A$7,599",Missing,1/1A,a 7 599 rtx 5080 16 laptop,a 7 599 rtx 5080 16 laptop 7599,7599,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
2. Open Box MSI Vector 16 HX AI RTX 5070 Ti — **conditional card only,Missing,UNKNOWN/UNKNOWN,2 open box msi vector 16 hx ai rtx 5070 ti conditional card only rtx 5070 ti,2 open box msi vector 16 hx ai rtx 5070 ti conditional card only rtx 5070 ti open box,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
12GB GDDR7,Missing,1.5/UNKNOWN,12gb gddr7 rtx 5070 ti 12 desktop,12gb gddr7 rtx 5070 ti 12 desktop 3399,3399,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
"Core Ultra 7, 32GB RAM, 1TB, RTX 5070 Ti",Missing,UNKNOWN/UNKNOWN,core ultra 7 32gb ram 1tb rtx 5070 ti rtx 5070 ti,core ultra 7 32gb ram 1tb rtx 5070 ti rtx 5070 ti open box,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
"A$5,499 is high, but far less than many premium",Missing,1/1A,a 5 499 is high but far less than many premium rtx 5090 laptop,a 5 499 is high but far less than many premium rtx 5090 laptop 5499,5499,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
|,Missing,UNKNOWN/UNKNOWN,rtx 5070 ti,rtx 5070 ti open box,UNKNOWN,UNKNOWN,69f199b8-63a0-839c-9743-426bcea1420e,Refurbished desktop search,Review against existing cards and verify live facts before intake.
